"Name,Ticker/Code,발행사,자산,전략,세부전략,지역,추적배수,거래대금(백만),시가총액(백만)"
"TIGER 미국배당다우존스타겟커버드콜2호,458760,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,2574.418956,959502.5"
"1Q 머니마켓액티브,479080,하나자산운용,채권,혼합,단기,국내,일반,2169.710396,939664.95"
"TIGER 2차전지테마,305540,미래에셋자산운용,주식,테마,2차전지(배터리),국내,일반,6899.264801,927153.5"
"KODEX 반도체,091160,삼성자산운용,주식,섹터,반도체,국내,일반,39490.85192,903212.25"
"TIGER 반도체TOP10,396500,미래에셋자산운용,주식,섹터,반도체,국내,일반,32455.96358,902880"
"KODEX 25-12 은행채(AAA)액티브,491080,삼성자산운용,채권,회사채,단기,국내,일반,326.752545,896812.63"
"ACE 종합채권(AA-이상)KIS액티브,356540,한국투자신탁운용,채권,혼합,종합,국내,일반,6107.967355,875198.335"
"TIGER 미국30년국채스트립액티브(합성 H),458250,미래에셋자산운용,채권,국공채,장기,미국,일반,6786.946582,867760.8"
"KODEX 미국30년국채타겟커버드콜(합성 H),481060,삼성자산운용,채권,채권파생,커버드콜,미국,일반,7533.434723,864300"
"TIGER 미국나스닥100타겟데일리커버드콜,486290,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,6328.246415,851296.25"
"PLUS 200,152100,한화자산운용,주식,시장대표,-,국내,일반,5938.564755,848050"
"TIMEFOLIO 글로벌AI인공지능액티브,456600,타임폴리오자산운용,주식,테마,로보틱스 & AI,글로벌,일반,14083.39724,830491.2"
"ACE 미국빅테크TOP7 Plus,465580,한국투자신탁운용,주식,테마,빅테크,미국,일반,16520.00189,828188"
"TIGER 리츠부동산인프라,329200,미래에셋자산운용,부동산,리츠,-,국내,일반,5260.922256,824463.75"
"KODEX 인버스,114800,삼성자산운용,주식,시장대표,-,국내,1X 인버스,75265.38936,818756"
"KODEX Top5PlusTR,315930,삼성자산운용,주식,퀀트,혼합,국내,일반,1737.30712,805090"
"KODEX MSCI Korea TR,278540,삼성자산운용,주식,시장대표,-,국내,일반,432.692,796207.5"
"SOL 미국배당다우존스,446720,신한자산운용,주식,스타일,배당,미국,일반,7078.228068,785880"
"KODEX 미국빅테크10(H),314250,삼성자산운용,주식,테마,빅테크,미국,일반,5983.79236,752368.05"
"KODEX 미국30년국채액티브(H),484790,삼성자산운용,채권,국공채,장기,미국,일반,8394.024508,722546.05"
"TIMEFOLIO 미국나스닥100액티브,426030,타임폴리오자산운용,주식,시장대표,-,미국,일반,17761.00502,720534.9"
"KODEX 단기채권,153130,삼성자산운용,채권,국공채,단기,국내,일반,2207.153208,711096.54"
"KODEX 미국S&P500(H),449180,삼성자산운용,주식,시장대표,-,미국,일반,3538.743609,698210.25"
"TIGER 은행고배당플러스TOP10,466940,미래에셋자산운용,주식,스타일,배당,국내,일반,12496.96823,698139"
"TIGER 우량회사채액티브,438330,미래에셋자산운용,채권,회사채,종합,국내,일반,5846.170955,693499.635"
"TIGER 단기채권액티브,272580,미래에셋자산운용,채권,혼합,단기,국내,일반,1336.53956,693170.8"
"KODEX 미국배당커버드콜액티브,441640,삼성자산운용,주식,주식파생,커버드콜,미국,일반,10812.01392,664017.75"
"ACE 미국배당다우존스,402970,한국투자신탁운용,주식,스타일,배당,미국,일반,2689.524215,652960"
"ACE 머니마켓액티브,487340,한국투자신탁운용,채권,혼합,단기,국내,일반,983.034498,650301.6"
"TIGER 조선TOP10,494670,미래에셋자산운용,주식,테마,조선,국내,일반,60730.18712,643187.5"
"TIGER 미국필라델피아AI반도체나스닥,497570,미래에셋자산운용,주식,섹터,반도체,미국,일반,7758.293863,622892.25"
"KODEX 국고채3년,114260,삼성자산운용,채권,국공채,중기,국내,일반,1324.284993,619592.28"
"KIWOOM 국고채10년,148070,키움투자자산운용,채권,국공채,장기,국내,일반,1570.246928,601992"
"KODEX 국고채30년액티브,439870,삼성자산운용,채권,국공채,장기,국내,일반,1674.939392,591631.45"
"TIGER 200 IT,139260,미래에셋자산운용,주식,섹터,정보기술,국내,일반,3913.702041,588127.2"
"KODEX 코스피,226490,삼성자산운용,주식,시장대표,-,국내,일반,8142.862068,578325"
"ACE 200,105190,한국투자신탁운용,주식,시장대표,-,국내,일반,3178.70648,574860"
"TIGER 테슬라채권혼합Fn,447770,미래에셋자산운용,혼합자산,자산배분,채권혼합,글로벌,일반,7466.218634,563789.5"
"TIGER 미국달러SOFR금리액티브(합성),456610,미래에셋자산운용,기타,금리,-,미국,일반,912.985814,543988.41"
"KODEX 국고채10년액티브,471230,삼성자산운용,채권,국공채,장기,국내,일반,2075.697315,527639.86"
"RISE 200위클리커버드콜,475720,케이비자산운용,주식,주식파생,커버드콜,국내,일반,5735.713551,523205"
"RISE KOFR금리액티브(합성),479520,케이비자산운용,기타,금리,-,국내,일반,304.455922,519812.875"
"TIGER 코리아배당다우존스,0052D0,미래에셋자산운용,주식,스타일,배당,국내,일반,5319.690086,519634.5"
"RISE KIS국고채30년Enhanced,385560,케이비자산운용,채권,국공채,장기,국내,일반,4175.864376,515884.59"
"KODEX 미국반도체,390390,삼성자산운용,주식,섹터,반도체,미국,일반,5249.359139,513604"
"TIGER 미국테크TOP10타겟커버드콜,474220,미래에셋자산운용,주식,주식파생,커버드콜,미국,일반,2762.016735,506352"
"TIGER 2차전지소재Fn,462010,미래에셋자산운용,주식,테마,2차전지(배터리),국내,일반,5361.059143,499533.75"
"KODEX 금융고배당TOP10타겟위클리커버드콜,498410,삼성액티브자산운용,주식,주식파생,커버드콜,국내,일반,5079.57183,497475"
"KODEX 미국달러SOFR금리액티브(합성),455030,삼성자산운용,기타,금리,-,미국,일반,2150.340664,488912.4"
"KODEX 미국AI테크TOP10타겟커버드콜,483280,삼성자산운용,주식,주식파생,커버드콜,미국,일반,3903.597674,487351"
"TIGER 인도니프티50,453870,미래에셋자산운용,주식,시장대표,-,인도,일반,5854.589279,480719.5"
"RISE 미국30년국채엔화노출(합성 H),472870,케이비자산운용,채권,국공채,장기,미국,일반,7001.184138,479245.5"
"KODEX 자동차,091180,삼성자산운용,주식,섹터,경기소비재,국내,일반,2063.790265,477828.75"
"KIWOOM 200,069660,키움투자자산운용,주식,시장대표,-,국내,일반,4718.96049,477650"
"KODEX 27-12 회사채(AA-이상)액티브,0007F0,삼성자산운용,채권,회사채,단기,국내,일반,814.715181,476965.5"
"KODEX 한국부동산리츠인프라,476800,삼성자산운용,부동산,리츠,-,국내,일반,5865.788642,474334"
"KODEX 미국나스닥100(H),449190,삼성자산운용,주식,시장대표,-,미국,일반,1744.797196,472602"
"TIGER KRX금현물,0072R0,미래에셋자산운용,원자재,금속,금,국내,일반,63894.67004,472119"
"KIWOOM 종합채권(AA-이상)액티브,454780,키움투자자산운용,채권,혼합,종합,국내,일반,5.68066,465783.21"
"KODEX AI전력핵심설비,487240,삼성자산운용,주식,테마,전력인프라,국내,일반,25517.79142,448632"
"ACE 미국S&P500채권혼합액티브,438080,한국투자신탁운용,혼합자산,자산배분,채권혼합,미국,일반,4765.764401,448218"
"TIGER 미국달러단기채권액티브,329750,미래에셋자산운용,채권,국공채,단기,미국,일반,2721.826945,444611.6"
"TIGER 2차전지TOP10,364980,미래에셋자산운용,주식,테마,2차전지(배터리),국내,일반,9495.817731,444238"
"KODEX 25-11 은행채(AA-이상)PLUS액티브,476810,삼성자산운용,채권,회사채,단기,국내,일반,47.352084,433348.5"
"PLUS 종합채권(AA-이상)액티브,451000,한화자산운용,채권,혼합,종합,-,일반,32.97867,431594.46"
"SOL AI반도체소부장,455850,신한자산운용,주식,섹터,반도체,국내,일반,9096.054502,431430"
"KODEX 인도Nifty50,453810,삼성자산운용,주식,시장대표,-,인도,일반,4960.035409,430416.75"
"RISE 단기통안채,196230,케이비자산운용,채권,국공채,단기,국내,일반,1071.082874,425726.42"
"ACE 글로벌반도체TOP4 Plus SOLACTIVE,446770,한국투자신탁운용,주식,섹터,반도체,글로벌,일반,8377.746387,422961"
"KODEX MSCI선진국,251350,삼성자산운용,주식,시장대표,-,글로벌,일반,1468.770078,415664.75"
